sep=,
Nome,Empresa,Cargo,Email,Telefone,Data de criação,Hora de criação,Contato e envio de comunicação,Status de contato e envio de comunicação,Hobbys,Time de Futebol,Família,Data de Nascimento,Cargo,Sexo
BELL'ARTE INDUSTRIA DE ESTOFADOS LTDA,BELL'ARTE INDUSTRIA DE ESTOFADOS LTDA,,"",4130772426,12/05/2026,15:30,pre_existent_contract,granted,"","","","","",""
BELLA PIZZA RESTAURANTE E EVENTOS LTDA,BELLA PIZZA RESTAURANTE E EVENTOS LTDA,,"",47999337174,20/05/2026,14:38,pre_existent_contract,granted,"","","","","",""
COMERCIO DE MOVEIS BARROS LTDA,COMERCIO DE MOVEIS BARROS LTDA,,"",47984048134,12/05/2026,13:37,pre_existent_contract,granted,"","","","","",""
COOPERATIVA DA AGRICULTURA FAMILIAR RIO NOVO - CORUPA,COOPERATIVA DA AGRICULTURA FAMILIAR RIO NOVO - CORUPA,,"",4738420088,12/05/2026,06:52,pre_existent_contract,granted,"","","","","",""
DIAMANTEC IND. E COM. DE FERRAMENTAS LTDA,DIAMANTEC IND. E COM. DE FERRAMENTAS LTDA,,"",47999774848,11/05/2026,17:06,pre_existent_contract,granted,"","","","","",""
DIMENSAO INDUSTRIA DO VESTUARIO LTDA,DIMENSAO INDUSTRIA DO VESTUARIO LTDA,,compras1@dimensao.ind.br,4737237515,18/05/2026,15:49,pre_existent_contract,granted,"","","","","",""
DKR PROJETOS MARCENARIA LTDA,DKR PROJETOS MARCENARIA LTDA,,"",47992115767,12/05/2026,13:37,pre_existent_contract,granted,"","","","","",""
DREI K ELETROELETRONICA LTDA,DREI K ELETROELETRONICA LTDA,,"",4747305846,18/05/2026,15:49,pre_existent_contract,granted,"","","","","",""
Diego, Paes Bueno Panificadora LTDA,"","",47 99250-2210,26/05/2026,11:45,"","","","","","","",""
E.M. DISTRIBUIDORA E COMERCIO DE ALIMENTOS LTDA,E.M. DISTRIBUIDORA E COMERCIO DE ALIMENTOS LTDA,,"",47988352088,20/05/2026,14:38,pre_existent_contract,granted,"","","","","",""
FEELING ESTOFADOS LTDA,FEELING ESTOFADOS LTDA,,"",47996147904,12/05/2026,15:30,pre_existent_contract,granted,"","","","","",""
FENAPACK INDUSTRIA E COMERCIO DE PLASTICOS LTDA,FENAPACK INDUSTRIA E COMERCIO DE PLASTICOS LTDA,,compras@wplast.com.br,19994055035,20/05/2026,14:38,pre_existent_contract,granted,"","","","","",""
FERMAQ COMERCIO E MANUTENCAO LTDA,FERMAQ COMERCIO E MANUTENCAO LTDA,,"",47991479768,11/05/2026,17:06,pre_existent_contract,granted,"","","","","",""
HERBER INDUSTRIA DE ARTEFATOS LTDA,HERBER INDUSTRIA DE ARTEFATOS LTDA,,"",4733761754,20/05/2026,14:38,pre_existent_contract,granted,"","","","","",""
JARTEX INDUSTRIA TEXTIL LTDA,JARTEX INDUSTRIA TEXTIL LTDA,,"",47991941002,15/05/2026,11:37,pre_existent_contract,granted,"","","","","",""
JG USINAGEM LTDA,JG USINAGEM LTDA,,"",47999945194,18/05/2026,15:49,pre_existent_contract,granted,"","","","","",""
KALFELS INDUSTRIA E COMERCIO LTDA,KALFELS INDUSTRIA E COMERCIO LTDA,,"",4732762008,20/05/2026,14:38,pre_existent_contract,granted,"","","","","",""
KLEMPS MAQUINAS TEXTEIS LTDA,KLEMPS MAQUINAS TEXTEIS LTDA,,"",47991863900,18/05/2026,17:39,pre_existent_contract,granted,"","","","","",""
LEISTUNG EQUIPAMENTOS LTDA.,LEISTUNG EQUIPAMENTOS LTDA.,,compras@leistungbrasil.com.br,47999098902,18/05/2026,17:39,pre_existent_contract,granted,"","","","","",""
MADCORTE DESIGN LTDA,MADCORTE DESIGN LTDA,,"",47996021354,12/05/2026,15:30,pre_existent_contract,granted,"","","","","",""
METALMARCHI USINAGEM LTDA,METALMARCHI USINAGEM LTDA,,"",4730584433,18/05/2026,15:49,pre_existent_contract,granted,"","","","","",""
