sep=,
Nome,Empresa,Qualificação,Funil de vendas,Etapa,Estado,Motivo de Perda,Valor Único,Valor Recorrente,Pausada,Data de criação,Hora de criação,Data do primeiro contato,Hora do primeiro contato,Data do último contato,Hora do último contato,Data da próxima tarefa,Hora da próxima tarefa,Previsão de fechamento,Data de fechamento,Hora de fechamento,Fonte,Campanha,Responsável,Produtos,Equipes do responsável,Anotação do motivo de perda,SDR Persona: ,Mensagem RD Station,Volume de Compra Estimado,Quem são os principais fornecedores de vocês hoje?,Como funciona o processo de orçamento e aprovação por aí?,"Tem alguma dor ou dificuldade com os fornecedores atuais (prazos, qualidade, quantidade mínima)?",Vocês trabalham com fornecedor fixo ou estão buscando parceiros?,Contatos,Cargo,Email,Telefone
PIZZARIA BARAO DO RIO BRANCO LTDA,PIZZARIA BARAO DO RIO BRANCO LTDA,,SDR INTERNO - DEBORA,Perdidos,Perdida,Telefone incorreto e/ou não existe,0.0,0.0,Não,20/05/2026,14:38,21/05/2026,09:23,22/05/2026,09:04,,,,22/05/2026,09:04,,,Debora,"",,"","","","","","","","",PIZZARIA BARAO DO RIO BRANCO LTDA,,"",47991400070
BELLA PIZZA RESTAURANTE E EVENTOS LTDA,BELLA PIZZA RESTAURANTE E EVENTOS LTDA,,SDR INTERNO - DEBORA,Reunião Agendada,Em Andamento,Nada,0.0,0.0,Não,20/05/2026,14:38,21/05/2026,09:25,22/05/2026,09:32,,,,,,,,Debora,"",,,"","","","","","","",BELLA PIZZA RESTAURANTE E EVENTOS LTDA,,"",47999337174
E.M. DISTRIBUIDORA E COMERCIO DE ALIMENTOS LTDA,E.M. DISTRIBUIDORA E COMERCIO DE ALIMENTOS LTDA,,SDR INTERNO - DEBORA,Perdidos,Perdida,Cliente não tem interesse no momento,0.0,0.0,Não,20/05/2026,14:38,21/05/2026,09:30,21/05/2026,15:39,,,,21/05/2026,15:39,,,Debora,"",,"","","","","","","","",E.M. DISTRIBUIDORA E COMERCIO DE ALIMENTOS LTDA,,"",47988352088
SR PAO PANIFICACAO E ALIMENTOS CONGELADOS LTDA,SR PAO PANIFICACAO E ALIMENTOS CONGELADOS LTDA,,SDR INTERNO - DEBORA,Perdidos,Perdida,Cliente não tem interesse no momento,0.0,0.0,Não,20/05/2026,14:38,21/05/2026,09:40,26/05/2026,14:49,,,,26/05/2026,14:49,,,Debora,"",,"","","","","","","","",SR PAO PANIFICACAO E ALIMENTOS CONGELADOS LTDA,,"",47984330138
HERBER INDUSTRIA DE ARTEFATOS LTDA,HERBER INDUSTRIA DE ARTEFATOS LTDA,,SDR INTERNO - DEBORA,Perdidos,Perdida,Cliente não tem interesse no momento,0.0,0.0,Não,20/05/2026,14:38,21/05/2026,09:42,26/05/2026,10:37,,,,26/05/2026,10:37,,,Debora,"",,"","","","","","","","",HERBER INDUSTRIA DE ARTEFATOS LTDA,,"",4733761754
MICHELUZZI INDUSTRIA E COMERCIO DE FIOS E MALHAS LTDA,MICHELUZZI INDUSTRIA E COMERCIO DE FIOS E MALHAS LTDA,,SDR INTERNO - DEBORA,Perdidos,Perdida,Tentativas de contato esgotadas,0.0,0.0,Não,20/05/2026,14:38,21/05/2026,09:55,26/05/2026,14:50,,,,26/05/2026,14:50,,,Debora,"",,"","","","","","","","",MICHELUZZI INDUSTRIA E COMERCIO DE FIOS E MALHAS LTDA,,"",4732760791
TRADICAO COMERCIO DE ALIMENTOS LTDA,TRADICAO COMERCIO DE ALIMENTOS LTDA,,SDR INTERNO - DEBORA,Perdidos,Perdida,Tentativas de contato esgotadas,0.0,0.0,Não,20/05/2026,14:38,21/05/2026,10:07,26/05/2026,14:48,,,,26/05/2026,14:48,,,Debora,"",,"","","","","","","","",TRADICAO COMERCIO DE ALIMENTOS LTDA,,"",47988341932
STR FERRAMENTARIA LTDA,STR FERRAMENTARIA LTDA,,SDR INTERNO - DEBORA,Perdidos,Perdida,Cliente não tem interesse no momento,0.0,0.0,Não,18/05/2026,17:39,20/05/2026,10:57,26/05/2026,10:52,,,,26/05/2026,10:52,,,Debora,"",,"","","","","","","","",STR FERRAMENTARIA LTDA,,"",47991894696
KLEMPS MAQUINAS TEXTEIS LTDA,KLEMPS MAQUINAS TEXTEIS LTDA,,SDR INTERNO - DEBORA,Perdidos,Perdida,Cliente não tem interesse no momento,0.0,0.0,Não,18/05/2026,17:39,20/05/2026,10:48,26/05/2026,15:14,,,,26/05/2026,15:14,,,Debora,"",,"","","","","","","","",KLEMPS MAQUINAS TEXTEIS LTDA,,"",47991863900
PERSONALLYZZA BRASIL INDUSTRIA DE ACESSORIOS DO VESTUARIO LTDA,PERSONALLYZZA BRASIL INDUSTRIA DE ACESSORIOS DO VESTUARIO LTDA,,SDR INTERNO - DEBORA,Perdidos,Perdida,Cliente não tem interesse no momento,0.0,0.0,Não,18/05/2026,17:39,20/05/2026,10:54,20/05/2026,10:54,,,,20/05/2026,10:56,,,Debora,"",,"Usa apenas 100 caixas por mês, pouca demanda","","","","","","","",PERSONALLYZZA BRASIL INDUSTRIA DE ACESSORIOS DO VESTUARIO LTDA,,"",47999236090
