sep=,
ID,Nome,Resumo,URL,Endereço,CEP,Nome Fantasia,CNPJ (somente os numeros),Cidade,Estado (UF),Segmentos,Data de criação,Hora de criação,Valor único vendido,Valor recorrente vendido,Data do último contato,Hora do último contato,Vendas,Perdidos,Pausados,Em andamento,Total
6a15b20ee0910d001e14ed39, Paes Bueno Panificadora LTDA,"","","","","",09.547.031/0001-31,Joinville,SC,"",26/05/2026,11:45,,,26/05/2026,11:45,0,0,0,1,1
6a0371d0b9fb5700019419fb,BELL'ARTE INDUSTRIA DE ESTOFADOS LTDA,,,,"","",83940494000111,Jaragua,SC,"",12/05/2026,15:30,,,,,0,0,0,1,1
6a0df1a98a7edf0001c0e5b4,BELLA PIZZA RESTAURANTE E EVENTOS LTDA,,,,"","",05918217000107,Jaragua,SC,"",20/05/2026,14:38,,,22/05/2026,09:32,0,0,0,1,1
6a0357475465f30001b6fe75,COMERCIO DE MOVEIS BARROS LTDA,,,,"","",34915019000180,Corupá,SC,"",12/05/2026,13:37,,,,,0,0,0,1,1
6a02f8746634cd0001396bb0,COOPERATIVA DA AGRICULTURA FAMILIAR RIO NOVO - CORUPA,,,,"","",8086051000190,Corupá,SC,"",12/05/2026,06:52,,,26/05/2026,15:55,0,0,0,1,1
6a0236bcce6fdb0001b989e1,DIAMANTEC IND. E COM. DE FERRAMENTAS LTDA,,,,"","",14795422000105,Corupá,SC,"",11/05/2026,17:06,,,,,0,0,0,1,1
6a0b5f4f2a70290001ae4fb0,DIMENSAO INDUSTRIA DO VESTUARIO LTDA,,,,"","",81374332000138,Jaragua,SC,"",18/05/2026,15:49,,,26/05/2026,11:00,0,0,0,1,1
6a0357485465f30001b6feab,DKR PROJETOS MARCENARIA LTDA,,,,"","",36800904000149,Corupá,SC,"",12/05/2026,13:37,,,,,0,0,0,1,1
6a0b5f4e2a70290001ae4f44,DREI K ELETROELETRONICA LTDA,,,,"","",13502594000180,Jaragua,SC,"",18/05/2026,15:49,,,21/05/2026,15:31,0,0,0,2,2
6a0df1a78a7edf0001c0e590,E.M. DISTRIBUIDORA E COMERCIO DE ALIMENTOS LTDA,,,,"","",05570765000180,Jaragua,SC,"",20/05/2026,14:38,,,21/05/2026,15:39,0,1,0,0,1
6a0371d1b9fb570001941a16,FEELING ESTOFADOS LTDA,,,,"","",85294759000187,Jaragua,SC,"",12/05/2026,15:30,,,,,0,0,0,1,1
6a0df1aa8a7edf0001c0e5fa,FENAPACK INDUSTRIA E COMERCIO DE PLASTICOS LTDA,,,,"","",07636724000175,Jaragua,SC,"",20/05/2026,14:38,,,22/05/2026,09:59,0,0,0,2,2
6a0236bbce6fdb0001b989c6,FERMAQ COMERCIO E MANUTENCAO LTDA,,,,"","",12983801000101,Corupá,SC,"",11/05/2026,17:06,,,,,0,0,0,1,1
6a0df1a58a7edf0001c0e547,HERBER INDUSTRIA DE ARTEFATOS LTDA,,,,"","",04799039000171,Jaragua,SC,"",20/05/2026,14:38,,,26/05/2026,10:37,0,1,0,0,1
6a072f9bdd7cf3000102119b,JARTEX INDUSTRIA TEXTIL LTDA,,,,"","",5785427000166,Jaragua,SC,"",15/05/2026,11:37,,,26/05/2026,15:45,0,0,0,1,1
6a0b5f4d2a70290001ae4ef3,JG USINAGEM LTDA,,,,"","",7858148000100,Jaragua,SC,"",18/05/2026,15:49,,,26/05/2026,15:42,0,0,0,1,1
6a0df1a48a7edf0001c0e524,KALFELS INDUSTRIA E COMERCIO LTDA,,,,"","",04486380000177,Jaragua,SC,"",20/05/2026,14:38,,,26/05/2026,16:51,0,0,0,2,2
6a0b7907c7b5520001a4b7ed,KLEMPS MAQUINAS TEXTEIS LTDA,,,,"","",9381250000193,Jaragua,SC,"",18/05/2026,17:39,,,26/05/2026,15:14,0,1,0,0,1
69d43f2829f492001473c20d,LEISTUNG EQUIPAMENTOS LTDA.,"","","","","",4187384000154,Jaragua,SC,"",06/04/2026,20:18,,,26/05/2026,15:13,0,2,0,0,2
6a0371cdb9fb570001941938,MADCORTE DESIGN LTDA,,,,"","",28182052000145,Jaragua,SC,"",12/05/2026,15:30,,,,,0,0,0,1,1
6a0b5f4d2a70290001ae4f29,METALMARCHI USINAGEM LTDA,,,,"","",13315220000156,Jaragua,SC,"",18/05/2026,15:49,,,26/05/2026,15:39,0,1,0,0,1
6a075c4e89ff8c0001872241,METALURGICA ZHZ LTDA,,,,"","",79247755000145,Jaragua,SC,"",15/05/2026,14:47,,,26/05/2026,15:47,0,0,0,1,1
6a0357475465f30001b6fe5a,MICASA FABRICACAO DE MOVEIS LTDA,,,,"","",33289378000106,Corupá,SC,"",12/05/2026,13:37,,,,,0,0,0,1,1
6a0df1a38a7edf0001c0e4ea,MICHELUZZI INDUSTRIA E COMERCIO DE FIOS E MALHAS LTDA,,,,"","",04249054000146,Jaragua,SC,"",20/05/2026,14:38,,,26/05/2026,14:50,0,1,0,0,1
6a0350f384796700013c58c1,MODELLE MODA INTIMA E FITNESS LTDA,,,,"","",46900394000135,Corupá,SC,"",12/05/2026,13:10,,,,,0,0,0,1,1
6a0371cdb9fb57000194191d,MOVEIS EING LTDA,,,,"","",26189453000100,Jaragua,SC,"",12/05/2026,15:30,,,,,0,0,0,1,1
6a0350f284796700013c5829,MUSA AGROINDUSTRIA DE ALIMENTOS LTDA,,,,"","",35378530000152,Corupá,SC,"",12/05/2026,13:10,,,27/05/2026,09:27,0,0,0,2,2
69d43b28cb46e4001aae80f5,OLHO VITAL INDUSTRIA E COMERCIO DE CONFECCOES LTDA,"","","","","",1676601000181,Jaragua,SC,"",06/04/2026,20:00,,,26/05/2026,15:15,0,2,0,0,2
6a06006d7f10070001a00397,OTS MULTILAR DISTRIBUIDORA DE ARMARINHOS LTDA,,,,"","",2292510000105,Jaragua,SC,"",14/05/2026,14:03,,,26/05/2026,10:41,0,1,0,0,1
6a0350f284796700013c5844,PAULO RENATO POHREN FRUTAS E VERDURAS LTDA,,,,"","",27418034000157,Corupá,SC,"",12/05/2026,13:10,,,,,0,0,0,1,1
6a0b7907c7b5520001a4b7c8,PERSONALLYZZA BRASIL INDUSTRIA DE ACESSORIOS DO VESTUARIO LTDA,,,,"","",6729900000150,Jaragua,SC,"",18/05/2026,17:39,,,20/05/2026,10:54,0,1,0,0,1
6a0df1aa8a7edf0001c0e5d7,PIZZARIA BARAO DO RIO BRANCO LTDA,,,,"","",06059360000145,Jaragua,SC,"",20/05/2026,14:38,,,22/05/2026,09:04,0,1,0,0,1
6a0357475465f30001b6fe90,PLANEJAMOVEIS SOB MEDIDA LTDA,,,,"","",35342362000145,Corupá,SC,"",12/05/2026,13:37,,,,,0,0,0,1,1
6a0b5f4c2a70290001ae4ed8,POLIMERTEC IND. E COM. DE BORRACHAS LTDA,,,,"","",4435054000130,Jaragua,SC,"",18/05/2026,15:49,,,27/05/2026,09:24,0,0,0,1,1
6a0b5f4f2a70290001ae4f95,PPP INDUSTRIA DE ALIMENTOS LTDA,,,,"","",43785380000120,Jaragua,SC,"",18/05/2026,15:49,,,26/05/2026,14:44,0,1,0,0,1
6a0e025c4410470001bf71e5,PRO FITAS LTDA,,,,"","",32270722000152,Jaragua,SC,"",20/05/2026,15:50,,,26/05/2026,09:35,0,0,0,1,1
6a0236bcce6fdb0001b989fc,SCC ARTESANATOS LTDA,,,,"","",19644267000140,Corupá,SC,"",11/05/2026,17:06,,,27/05/2026,09:06,0,0,0,1,1
6a0350f284796700013c585f,SOMAWA COMERCIO DE BANANAS LTDA,,,,"","",28584569000160,Corupá,SC,"",12/05/2026,13:10,,,,,0,0,0,1,1
6a0df1a68a7edf0001c0e56a,SR PAO PANIFICACAO E ALIMENTOS CONGELADOS LTDA,,,,"","",05454168000190,Jaragua,SC,"",20/05/2026,14:38,,,26/05/2026,14:49,0,1,0,0,1
6a075c4e89ff8c000187220b,STANNIS INDUSTRIA DE BEBIDAS LTDA,,,,"","",26521219000120,Jaragua,SC,"",15/05/2026,14:47,,,21/05/2026,16:04,0,0,0,1,1
6a0b7908c7b5520001a4b808,STR FERRAMENTARIA LTDA,,,,"","",12715548000105,Jaragua,SC,"",18/05/2026,17:39,,,26/05/2026,10:52,0,1,0,0,1
6a0b5f4f2a70290001ae4fcb,TEMPEREX INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,,,,"","",85385474000151,Jaragua,SC,"",18/05/2026,15:49,,,26/05/2026,10:45,0,0,0,1,1
69d419a4e0a60e0013994c94,TEXTILFIO MALHAS LTDA,"","","","","",214242000188,Jaragua,SC,"",06/04/2026,17:37,,,10/04/2026,12:08,0,1,0,1,2
6a06006c7f10070001a0034d,TEXTIPAN INDUSTRIA E COMERCIO LTDA,,,,"","",1343947000168,Jaragua,SC,"",14/05/2026,14:03,,,26/05/2026,15:38,0,0,0,1,1
6a0600687f10070001a00282,TORNEARIA GUIDO LTDA,,,,"","",107371000177,Jaragua,SC,"",14/05/2026,14:03,,,26/05/2026,11:58,0,1,0,0,1
6a0df1a08a7edf0001c0e4a8,TRADICAO COMERCIO DE ALIMENTOS LTDA,,,,"","",04014467000141,Jaragua,SC,"",20/05/2026,14:38,,,26/05/2026,14:48,0,1,0,0,1
6a0b5f4e2a70290001ae4f5f,USIROTA INDUSTRIA E COMERCIO ATACADISTA DE PECAS INDUSTRIAIS LTDA,,,,"","",30638166000107,Jaragua,SC,"",18/05/2026,15:49,,,26/05/2026,10:29,0,0,0,1,1
6a0b5f4e2a70290001ae4f7a,WIPOOL INDUSTRIA E COMERCIO TEXTIL LTDA,,,,"","",43749162000130,Jaragua,SC,"",18/05/2026,15:49,,,26/05/2026,10:31,0,0,0,1,1
6a15adf9c7029f0027bf0cb2,Zefter Comercio Varejista LTDA,"","","","","",40.455.430/0001-12,São Bento do Sul,sc,"",26/05/2026,11:28,,,,,0,0,0,2,2
